city,pop_2018_est,place,city_y,area_land,place_type,pop_density,mh_spaces
Diamond Bar,56434,19192,Diamond Bar,14.87,Diamond Bar city,3795.16,147.0
East San Gabriel,15932,21096,East San Gabriel,1.56,East San Gabriel CDP,10212.82,
Panorama Heights,42,55506,Panorama Heights,0.48,Panorama Heights CDP,87.5,
Alturas,2577,01444,Alturas,2.82,Alturas city,913.83,67.0
Westwood,1545,84928,Westwood,5.44,Westwood CDP,284.01,103.0
Highland,54859,33588,Highland,18.75,Highland city,2925.81,1119.0
Joshua Tree,6980,37554,Joshua Tree,36.09,Joshua Tree CDP,193.41,126.0
Morongo Valley,3262,49348,Morongo Valley,25.22,Morongo Valley CDP,129.34,154.0
Ontario,173580,53896,Ontario,49.96,Ontario city,3474.38,2017.0
Yucca Valley,21543,87056,Yucca Valley,39.83,Yucca Valley town,540.87,772.0
Los Alamos,1623,43252,Los Alamos,3.87,Los Alamos CDP,419.38,106.0
Mission Canyon,2755,48147,Mission Canyon,1.51,Mission Canyon CDP,1824.5,
Hemet,84069,33182,Hemet,29.27,Hemet city,2872.19,6987.0
Indian Wells,5317,36434,Indian Wells,14.32,Indian Wells city,371.3,
Perris,76276,56700,Perris,31.56,Perris city,2416.86,469.0
Bystrom,4099,09353,Bystrom,0.71,Bystrom CDP,5773.24,
Waterford,8823,83612,Waterford,2.36,Waterford city,3738.56,115.0
East Porterville,6679,21012,East Porterville,3.02,East Porterville CDP,2211.59,
Ivanhoe,4198,36910,Ivanhoe,2.01,Ivanhoe CDP,2088.56,
San Juan Capistrano,35952,68028,San Juan Capistrano,14.43,San Juan Capistrano city,2491.48,1216.0
Tipton,3218,78750,Tipton,1.01,Tipton CDP,3186.14,
Woodville,1852,86482,Woodville,4.35,Woodville CDP,425.75,
Rancho Santa Margarita,48792,59587,Rancho Santa Margarita,12.89,Rancho Santa Margarita city,3785.26,
Olivehurst,13309,53714,Olivehurst,7.46,Olivehurst CDP,1784.05,28.0
Big Bear Lake,5229,06434,Big Bear Lake,6.24,Big Bear Lake city,837.98,298.0
Gerber,1259,29392,Gerber,0.93,Gerber CDP,1353.76,21.0
Geyserville,928,29420,Geyserville,4.51,Geyserville CDP,205.76,
Gold Mountain,0,30339,Gold Mountain,6.09,Gold Mountain CDP,0.0,
Good Hope,9173,30410,Good Hope,11.23,Good Hope CDP,816.83,
Goodyears Bar,29,30420,Goodyears Bar,2.05,Goodyears Bar CDP,14.15,
Grangeville,586,30686,Grangeville,0.64,Grangeville CDP,915.62,
Graniteville,0,30714,Graniteville,1.49,Graniteville CDP,0.0,
Greeley Hill,687,30900,Greeley Hill,21.05,Greeley Hill CDP,32.64,
Westminster,91417,84550,Westminster,10.04,Westminster city,9105.28,2886.0
Marysville,12282,46170,Marysville,3.46,Marysville city,3549.71,776.0
Tahoe Vista,1288,77700,Tahoe Vista,2.72,Tahoe Vista CDP,473.53,58.0
Moss Beach,3799,49446,Moss Beach,2.24,Moss Beach CDP,1695.98,227.0
Inyokern,740,36658,Inyokern,10.93,Inyokern CDP,67.7,54.0
Burlingame,30459,09066,Burlingame,4.41,Burlingame city,6906.8,
San Carlos,30080,65070,San Carlos,5.51,San Carlos city,5459.17,
South San Francisco,67294,73262,South San Francisco,9.23,South San Francisco city,7290.79,
Edwards AFB,2571,21600,Edwards AFB,17.13,Edwards AFB CDP,150.09,
Frazier Park,2570,25534,Frazier Park,5.07,Frazier Park CDP,506.9,81.0
McKittrick,127,44924,McKittrick,2.62,McKittrick CDP,48.47,
